GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TripFlow API Service,com.tripflow.controller.auth,RestAuthController,48,82,6,6,12,21,6,7,2,5
TripFlow API Service,com.tripflow.service.map.dispatch,MapProviderResolver,18,79,6,12,3,23,6,8,0,5
TripFlow API Service,com.tripflow.dto.shared,ErrorResponse,0,9,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.dto.shared,PaginatedDTO,0,21,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.service.map.provider.search,MapTilerSearchProvider,353,583,61,47,75,108,53,26,7,18
TripFlow API Service,com.tripflow.service.map.provider.search,MapTilerSearchProvider.SuggestRequestContext,0,12,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.service.map.provider.search,MockMapsSearchProvider,2,47,2,2,0,7,2,4,0,4
TripFlow API Service,com.tripflow.service.itinerary,ItineraryPermissionService,0,70,0,8,0,13,0,11,0,7
TripFlow API Service,com.tripflow.service.itinerary,ItineraryShareLinkService,25,216,5,11,2,54,7,12,2,9
TripFlow API Service,com.tripflow.service.itinerary,ItineraryDayService,0,67,0,8,0,18,0,7,0,3
TripFlow API Service,com.tripflow.service.itinerary,LocationService,5,49,2,8,1,16,2,5,0,2
TripFlow API Service,com.tripflow.service.itinerary,GeographicPointService,0,83,1,3,0,20,1,7,0,6
